Hospital_Referral_Region,Outpatient_Services,Average_Estimated_Submitted_Charges,Average_Total_Payments
OR - Portland,84,507.29,273.2388095
RI - Providence,13,1346.519231,344.0446154
PA - Pittsburgh,124,390.2298387,266.6504839
SD - Sioux Falls,83,620.6012048,279.2920482
OR - Medford,102,502.7290196,309.812451
SD - Sioux Falls,197,619.8638579,295.1388325
PA - Altoona,17,2086.890588,293.9282353
PA - Reading,12,791.1591667,284.67
SC - Charleston,55,1239.440909,264.8674545
PA - Pittsburgh,20,1474.2795,236.5275
RI - Providence,22,2177.457273,335.7240909
PA - Pittsburgh,29,180.2748276,276.8627586
SD - Sioux Falls,38,450.2855263,309.6244737
TX - Tyler,119,463.28,283.9445378
TX - Harlingen,28,1821.399643,280.9325
TX - Houston,77,1043.350649,291.274026
TX - Austin,234,834.1173077,280.2132479
PA - Harrisburg,99,430.7676768,281.159596
PA - Allentown,52,602.1480769,254.5228846
PA - Pittsburgh,18,137.6666667,143.35
PA - Philadelphia,18,13351.94444,327.43
RI - Providence,20,1579.5655,257.644
TX - San Antonio,14,3489.357143,275.13
TX - San Antonio,13,8441.912308,281.92
TX - Bryan,30,1662.826333,288.4056667
OR - Eugene,18,3566.312222,350.3433333
SD - Sioux Falls,173,226.0704046,290.1353179
PA - Philadelphia,299,366.0401338,257.903913
OR - Eugene,24,283.32875,311.1920833
PA - Philadelphia,13,8974.615385,317.25
PA - Altoona,19,468.6921053,293.79
TX - Houston,11,735.0018182,297.3418182
GA - Augusta,12,5193.083333,293.93
OK - Oklahoma City,11,380.7272727,290.52
TN - Nashville,55,1301.493455,260.6696364
TN - Memphis,12,2781.844167,282.2391667
PA - Danville,117,1810.375556,272.1031624
PA - Erie,27,1903.182593,286.0696296
PA - Pittsburgh,32,2923.28125,248.2434375
RI - Providence,17,830.4011765,333.3970588
PA - Erie,19,971.3710526,302.88
PA - Lancaster,13,4325.115385,284.0207692
SD - Sioux Falls,11,590.9090909,335.96
RI - Providence,25,2532.4864,311.6776
ID - Boise,45,426.7366667,298.316
PA - Erie,11,1515.918182,289.1127273
WA - Everett,153,396.7734641,333.3824837
NY - Albany,22,518.6909091,267.2436364
WI - Madison,140,345.2524286,275.7131429
WI - Madison,12,864.0333333,294.6316667
WI - Madison,58,689.9958621,294.8893103
VA - Newport News,14,2017.855714,294.9664286
VA - Richmond,169,1214.510947,295.4026036
WI - Madison,154,299.038961,296.4034416
WI - Milwaukee,19,991.0342105,261.4278947
TX - Austin,354,1018.525763,272.0859322
VT - Burlington,219,1073.220411,296.8263014
VA - Charlottesville,35,836.5542857,291.99
WA - Seattle,186,606.1943548,261.6970968
WI - La Crosse,121,515.9603306,286.9014876
WI - Milwaukee,29,1377.89069,301.9262069
WI - Madison,159,388.358805,269.6293082
WI - Milwaukee,17,4906.211176,310.71
WI - Madison,97,351.1471134,300.8723711
WI - Wausau,16,613.849375,312.24
UT - Salt Lake City,242,566.981405,263.7283058
VA - Roanoke,214,305.9929907,269.6264486
VA - Richmond,17,1209.032353,262.0511765
WI - Milwaukee,78,295.5589744,266.7255128
WI - La Crosse,153,427.792549,279.5006536
WI - Milwaukee,37,473.2613514,285.2608108
VA - Newport News,45,1770.047556,271.8848889
WA - Spokane,259,225.9457915,309.4160232
VA - Norfolk,20,2208.0375,270.1005
WA - Seattle,78,738.6084615,236.0396154
VT - Burlington,20,682.4865,320.8205
VA - Arlington,12,2815.875,252.99
WV - Charleston,11,1136.648182,266.4018182
VA - Charlottesville,119,949.0992437,278.1376471
VA - Norfolk,14,2397.867857,214.8178571
VA - Norfolk,26,1437.645,283.4496154
WV - Huntington,26,1334.236538,285.1296154
OR - Portland,66,433.1954545,316.8195455
WA - Spokane,37,105.3051351,236.7227027
WI - Milwaukee,12,3136.191667,289.8191667
VA - Newport News,22,1732.248182,281.3945455
WI - Milwaukee,11,3666.13,310.43
PA - Pittsburgh,73,582.8041096,229.7243836
WI - Marshfield,60,482.9166667,245.3586667
WI - Milwaukee,14,1083.928571,243.9114286
VA - Roanoke,14,3729.302857,257.9535714
WI - Milwaukee,48,1072.685208,307.1964583
VA - Richmond,12,8896.055,289.2766667
VA - Norfolk,200,1049.01625,278.1279
WA - Yakima,27,974.5018519,317.7940741
VT - Burlington,33,414.2493939,343.4139394
VA - Norfolk,17,1084.823529,277.42
WV - Morgantown,16,813.503125,284.53125
WA - Spokane,83,448.5421687,310.1650602
WI - Marshfield,104,318.4528846,267.7030769
WI - Madison,45,367.7777778,314.9042222
WA - Spokane,95,693.5473684,276.0751579
WA - Seattle,47,540.4185106,332.0708511
WI - Wausau,87,345.4597701,269.4266667
WV - Morgantown,27,743.242963,263.1744444
WA - Seattle,32,851.955,327.4328125
WV - Morgantown,12,688.75,248.6925
